impuesto,recaudacion,anio,mes,mes_nombre,mes_texto,fecha,anio_mes
 Total recursos tributarios,527284.46216997,2020,1,enero,enero,2020-01-01,2020-01
 Total recursos tributarios,471693.290156,2020,2,febrero,febrero,2020-02-01,2020-02
 Total recursos tributarios,443636.6561833,2020,3,marzo,marzo,2020-03-01,2020-03
 Total recursos tributarios,398658.7237550499,2020,4,abril,abril,2020-04-01,2020-04
 Total recursos tributarios,499534.96312047006,2020,5,mayo,mayo,2020-05-01,2020-05
 Total recursos tributarios,545962.77820331,2020,6,junio,junio,2020-06-01,2020-06
 Total recursos tributarios,559091.89745643,2020,7,julio,julio,2020-07-01,2020-07
 Total recursos tributarios,612146.02653281,2020,8,agosto,agosto,2020-08-01,2020-08
 Total recursos tributarios,606508.0647774901,2020,9,septiembre,septiembre,2020-09-01,2020-09
 Total recursos tributarios,642104.4653061801,2020,10,octubre,octubre,2020-10-01,2020-10
 Total recursos tributarios,648976.2944879599,2020,11,noviembre,noviembre,2020-11-01,2020-11
 Total recursos tributarios,679640.69150076,2020,12,diciembre,diciembre,2020-12-01,2020-12
 Total recursos tributarios,772859.8174596,2021,1,enero,enero,2021-01-01,2021-01
 Total recursos tributarios,716595.43985888,2021,2,febrero,febrero,2021-02-01,2021-02
 Total recursos tributarios,763857.8215363701,2021,3,marzo,marzo,2021-03-01,2021-03
 Total recursos tributarios,817882.1230440498,2021,4,abril,abril,2021-04-01,2021-04
 Total recursos tributarios,862479.93573646,2021,5,mayo,mayo,2021-05-01,2021-05
 Total recursos tributarios,922853.32154597,2021,6,junio,junio,2021-06-01,2021-06
 Total recursos tributarios,933200.16775295,2021,7,julio,julio,2021-07-01,2021-07
 Total recursos tributarios,1005306.0645306,2021,8,agosto,agosto,2021-08-01,2021-08
 Total recursos tributarios,976314.14248594,2021,9,septiembre,septiembre,2021-09-01,2021-09
 Total recursos tributarios,1018783.23339976,2021,10,octubre,octubre,2021-10-01,2021-10
 Total recursos tributarios,1034858.19613094,2021,11,noviembre,noviembre,2021-11-01,2021-11
 Total recursos tributarios,1179889.8214528195,2021,12,diciembre,diciembre,2021-12-01,2021-12
 Total recursos tributarios,1171943.0637611402,2022,1,enero,enero,2022-01-01,2022-01
 Total recursos tributarios,1166514.24060695,2022,2,febrero,febrero,2022-02-01,2022-02
 Total recursos tributarios,1241088.95711712,2022,3,marzo,marzo,2022-03-01,2022-03
 Total recursos tributarios,1341595.35611988,2022,4,abril,abril,2022-04-01,2022-04
 Total recursos tributarios,1551369.96283376,2022,5,mayo,mayo,2022-05-01,2022-05
 Total recursos tributarios,1680901.30723038,2022,6,junio,junio,2022-06-01,2022-06
 Total recursos tributarios,1745178.10466373,2022,7,julio,julio,2022-07-01,2022-07
 Total recursos tributarios,1731319.4924793502,2022,8,agosto,agosto,2022-08-01,2022-08
 Total recursos tributarios,2127180.67389125,2022,9,septiembre,septiembre,2022-09-01,2022-09
 Total recursos tributarios,1953859.6578480103,2022,11,noviembre,noviembre,2022-11-01,2022-11
 Total recursos tributarios,2307475.60560662,2022,12,diciembre,diciembre,2022-12-01,2022-12
 Total recursos tributarios,2265961.79873514,2023,1,enero,enero,2023-01-01,2023-01
 Total recursos tributarios,2126337.89725611,2023,2,febrero,febrero,2023-02-01,2023-02
 Total recursos tributarios,2336942.38424853,2023,3,marzo,marzo,2023-03-01,2023-03
 Total recursos tributarios,2551511.44943979,2023,4,abril,abril,2023-04-01,2023-04
 Total recursos tributarios,3178453.6382806497,2023,5,mayo,mayo,2023-05-01,2023-05
 Total recursos tributarios,3517257.61702437,2023,6,junio,junio,2023-06-01,2023-06
